sseqid	Category
-VFG050302-gb|WP_001045627.1-	Adherence
-VFG050303-gb|WP_001045628.1-	Adherence
-VFG050304-gb|YP_001084066.1-	Adherence
-VFG050305-gb|WP_020752362.1-	Adherence
-VFG050306-gb|WP_020752546.1-	Adherence
-VFG050313-gb|WP_004644147.1-	Adherence
-VFG050311-gb|WP_002014066.1-	Adherence
-VFG050314-gb|YP_001086190.1-	Adherence
-VFG050317-gb|WP_038346731.1-	Adherence
-VFG050319-gb|WP_002014066.1-	Adherence
-VFG050321-gb|WP_002014066.1-	Adherence
-VFG050322-gb|WP_000537771.1-	Adherence
-VFG050323-gb|YP_005800481.1-	Adherence
-VFG050328-gb|WP_000201227.1-	Adherence
-VFG050326-gb|WP_000201229.1-	Adherence
-VFG050329-gb|YP_001086189.1-	Adherence
-VFG050331-gb|WP_000201227.1-	Adherence
-VFG050332-gb|WP_020753500.1-	Adherence
-VFG050334-gb|WP_000201227.1-	Adherence
-VFG050339-gb|WP_000076099.1-	Adherence
-VFG050340-gb|WP_000076101.1-	Adherence
-VFG050342-gb|WP_000076098.1-	Adherence
-VFG050343-gb|YP_001086188.1-	Adherence
-VFG050348-gb|WP_000076101.1-	Adherence
-VFG050351-gb|WP_000076101.1-	Adherence
-VFG050353-gb|WP_000076101.1-	Adherence
-VFG050357-gb|WP_000695065.1-	Adherence
-VFG050355-gb|WP_000695059.1-	Adherence
-VFG050358-gb|YP_001086187.1-	Adherence
-VFG050363-gb|WP_000695065.1-	Adherence
-VFG050366-gb|WP_000695060.1-	Adherence
-VFG050367-gb|YP_005800478.1-	Adherence
-VFG050368-gb|WP_000695065.1-	Adherence
-VFG050372-gb|WP_001017033.1-	Adherence
-VFG050370-gb|WP_001017040.1-	Adherence
-VFG050373-gb|YP_001086186.1-	Adherence
-VFG050375-gb|WP_001017033.1-	Adherence
-VFG050376-gb|WP_001017033.1-	Adherence
-VFG050378-gb|WP_001017033.1-	Adherence
-VFG050384-gb|WP_000355491.1-	Adherence
-VFG050387-gb|YP_001083931.1-	Adherence
-VFG050390-gb|WP_000355489.1-	Adherence
-VFG050386-gb|WP_000355489.1-	Adherence
-VFG050392-gb|WP_000355489.1-	Adherence
-VFG050395-gb|YP_005797773.1-	Adherence
-VFG050400-gb|WP_000347039.1-	Adherence
-VFG050398-gb|WP_000347036.1-	Adherence
-VFG050401-gb|YP_001083930.1-	Adherence
-VFG050404-gb|WP_000347035.1-	Adherence
-VFG050406-gb|WP_000347036.1-	Adherence
-VFG050413-gb|WP_000537692.1-	Adherence
-VFG050415-gb|YP_001083555.1-	Adherence
-VFG050416-gb|WP_005136899.1-	Adherence
-VFG050414-gb|WP_002027454.1-	Adherence
-VFG050418-gb|WP_004738086.1-	Adherence
-VFG050420-gb|WP_004738086.1-	Adherence
-VFG050423-gb|YP_005797437.1-	Adherence
-VFG050426-gb|WP_000128078.1-	Adherence
-VFG050429-gb|YP_001083483.1-	Adherence
-VFG050432-gb|WP_000128082.1-	Adherence
-VFG050434-gb|WP_000128064.1-	Adherence
-VFG050437-gb|WP_000128076.1-	Adherence
-VFG050428-gb|WP_000128073.1-	Adherence
-VFG050440-gb|WP_000993717.1-	Adherence
-VFG050441-gb|WP_000993729.1-	Adherence
-VFG050443-gb|WP_000993715.1-	Adherence
-VFG050444-gb|YP_001086176.1-	Adherence
